headline,link
Distressed companies can apply for lower electricity tariffs,https://www.moneyweb.co.za/news/south-africa/distressed-companies-can-apply-for-lower-electricity-tariffs/
Can the IDC finance SA’s economic recovery?,https://www.moneyweb.co.za/moneyweb-opinion/columnists/can-the-idc-finance-sas-economic-recovery/
South32 CEO “optimistic” about finalising South African thermal coal exit this year,https://www.moneyweb.co.za/news-fast-news/south32-ceo-optimistic-about-finalising-south-african-thermal-coal-exit-this-year/
Rand slumps in fear of Covid-19 second wave,https://www.moneyweb.co.za/news/markets/rand-slumps-in-fear-of-covid-19-second-wave/
Weekly wrap: Precious metals producers mint profits,https://www.moneyweb.co.za/mineweb/weekly-wrap-precious-metals-producers-mint-profits/
BHP overstayed in petroleum. Time to exit,https://www.moneyweb.co.za/mineweb/bhp-overstayed-in-petroleum-time-to-exit/
Seriti CEO seeks acquisitions beyond South African coal mines,https://www.moneyweb.co.za/news-fast-news/seriti-ceo-seeks-acquisitions-beyond-south-african-coal-mines/
South Africa to disclose carbon emissions from its biggest polluters,https://www.moneyweb.co.za/news/companies-and-deals/south-africa-to-disclose-carbon-emissions-from-its-biggest-polluters/
Mines forced to overhaul their supply chains,https://www.moneyweb.co.za/news/south-africa/mines-forced-to-overhaul-their-supply-chains/
South African mining sector braces for coronavirus lockdown,https://www.moneyweb.co.za/news-fast-news/south-african-mining-sector-braces-for-coronavirus-lockdown/
Mining industry is about to come to a standstill,https://www.moneyweb.co.za/news-fast-news/mining-industry-is-about-to-come-to-a-standstill/
Anglo American to decide this year on fate of SA’s thermal coal assets,https://www.moneyweb.co.za/news-fast-news/anglo-american-to-decide-this-year-on-fate-of-south-african-thermal-coal-assets/
BHP appoints insider Mike Henry CEO,https://www.moneyweb.co.za/news-fast-news/bhp-appoints-insider-mike-henry-ceo/
Mark Cutifani’s vision to reboot SA mining,https://www.moneyweb.co.za/mineweb/mark-cutifanis-vision-to-reboot-sa-mining/
BHP approached Anglo American Chief Mark Cutifani for CEO role,https://www.moneyweb.co.za/news-fast-news/bhp-approached-anglo-american-chief-mark-cutifani-for-ceo-role/
