headline,link
"SA stocks fall, paring best November gains since 2001",https://www.moneyweb.co.za/news/south-africa/sa-stocks-fall-paring-best-november-gains-since-2001/
Santam fails to get Guardrisk’s Café Chameleon appeal postponed,https://www.moneyweb.co.za/news/companies-and-deals/santam-fails-to-get-guardrisks-cafe-chameleon-appeal-postponed/
Businesses pledge close to R110bn at Cyril’s third investment conference,https://www.moneyweb.co.za/news/companies-and-deals/businesses-pledge-close-to-r110bn-at-cyrils-third-investment-conference/
Old Mutual CEO reboots strategy after brawl with predecessor,https://www.moneyweb.co.za/news/companies-and-deals/old-mutual-ceo-reboots-strategy-after-brawl-with-predecessor/
Africa’s top insurer refocuses on home base after deal misfires,https://www.moneyweb.co.za/news/companies-and-deals/africas-top-insurer-refocuses-on-home-base-after-deal-misfires/
Covid-19 aftermath: a world beset with fraud and write-offs,https://www.moneyweb.co.za/news/companies-and-deals/covid-19-aftermath-a-world-beset-with-fraud-and-write-offs/
Capital flight,https://www.moneyweb.co.za/news/economy/capital-flight/
Corporate report card: Dismal and commendable efforts,https://www.moneyweb.co.za/news/companies-and-deals/no-ones-hero-but-still-a-wealthy-man/
Hanratty’s gift from Sanlam,https://www.moneyweb.co.za/news/companies-and-deals/hanrattys-gift-from-sanlam/
The demand for impact investing is outpacing supply,https://www.moneyweb.co.za/investing/the-demand-for-impact-investing-is-out-pacing-supply/
"South African banks prepare for the worst, hope it doesn’t come",https://www.moneyweb.co.za/news/companies-and-deals/south-african-banks-prepare-for-the-worst-hope-it-doesnt-come/
What Level 1 will mean for SA’s economy,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/how-will-the-economy-be-impacted-if-sa-is-moved-to-level-1-lockdown/
Sanlam raises R7.7bn in impairments,https://www.moneyweb.co.za/news/companies-and-deals/sanlam-raises-r7-7bn-in-impairments/
Sanlam diluted HEPS up 10% despite tough operating environment,https://www.moneyweb.co.za/moneyweb-radio/sanlam-diluted-heps-up-10-despite-tough-operating-environment/
Sanlam winsgewendheid daal ondanks toename in nuwe besigheid,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/sanlam-winsgewendheid-daal-ondanks-toename-in-nuwe-besigheid/
