headline,link
"JPMorgan favours SA domestics over gold, tech stocks",https://www.moneyweb.co.za/news-fast-news/jpmorgan-favours-sa-domestics-over-gold-tech-stocks/
MTN raises R2.3bn from sale of Jumia stake,https://www.moneyweb.co.za/news/companies-and-deals/mtn-raises-r2-3bn-from-sale-of-jumia-stake/
Standard Bank is bulking up,https://www.moneyweb.co.za/news/companies-and-deals/standard-bank-is-bulking-up/
"Famous Brands’s UK chain GBK fails, US bank results and the state of SA’s ETF industry",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/famous-brandss-uk-chain-gbk-fails-us-bank-results-and-the-state-of-sas-etf-industry/
MTN withdraws Supreme Court challenge against Ghana market regulator,https://www.moneyweb.co.za/news-fast-news/mtn-withdraws-supreme-court-challenge-against-ghana-market-regulator/
"Corruption arrests, land sales raise SA spirits",https://www.moneyweb.co.za/news/south-africa/corruption-arrests-land-sales-raise-sa-spirits/
Stocks and rand slump on risk off market sentiment,https://www.moneyweb.co.za/news-fast-news/stocks-and-rand-slump-on-risk-off-market-sentiment/
How South African companies are battling the pandemic and recession,https://www.moneyweb.co.za/news/economy/how-south-african-companies-are-battling-the-pandemic-and-recession/
Lockdown leads to data boom,https://www.moneyweb.co.za/news/tech/lockdown-leads-to-data-boom/
Icasa shows signs of life on spectrum allocation,https://www.moneyweb.co.za/news/south-africa/icasa-shows-signs-of-life-on-spectrum-allocation/
MTN takes challenges against Ghana market regulator to Supreme Court,https://www.moneyweb.co.za/news/companies-and-deals/mtn-takes-challenges-against-ghana-market-regulator-to-supreme-court/
"Huge Group, Cell C deal ends in acrimony, finger-pointing",https://www.moneyweb.co.za/news/companies-and-deals/huge-group-cell-c-deal-ends-in-acrimony-finger-pointing/
Icasa delays spectrum release until 2021,https://www.moneyweb.co.za/news-fast-news/icasa-delays-spectrum-release-until-2021/
"Stocks rally with help from China data, weaker dollar",https://www.moneyweb.co.za/news-fast-news/stocks-rally-with-help-from-china-data-weaker-dollar/
Ralph Mupita appointed as MTN Group CEO,https://www.moneyweb.co.za/news/companies-and-deals/ralph-mupita-appointed-as-mtn-group-ceo/
